author,statement,source,date,label
Miriam Valverde,"Undocumented immigrants ""pay $12 billion a year into Social Security.""",Hillary Clinton,"August 10, 2016",half-true
Riley Snyder,"""In Catherine Cortez Masto's last term as attorney general, Nevada murder went up 11 percent, robbery went up 28 percent, rape 51 percent. When Cortez Masto left office, Nevada ranked as America's third most dangerous state.""",National Republican Senatorial Committee,"August 10, 2016",barely-true
Jim Tharpe,"""U.S. Sen. Johnny Isakson has voted for $7 trillion of our national debt!""",Allen Buckley,"August 10, 2016",mostly-true
Cara Lombardo,"""(Paul Ryan) has actually proposed three — total, three — bills that have become law in his entire career dating back to 1999.""",David Canon,"August 10, 2016",mostly-true
Will Doran,"""Half of all NC legislative candidates are unopposed because of gerrymandering.""",Common Cause,"August 9, 2016",mostly-true
Amy Sherman,"Says Gov. Rick Scott ""cut nearly $1 million from mosquito control and closed down the state’s mosquito research lab a few years ago.""",Debbie Wasserman Schultz,"August 9, 2016",barely-true
Anthony Cave,"Says that under the Obama administration, ""the debt has nearly doubled.""",Mike Pence,"August 9, 2016",mostly-true
Louis Jacobson,"""The Obama-Clinton war on coal has cost Michigan over 50,000 jobs.""",Donald Trump,"August 9, 2016",false
Alan Gathright,"Says Rep. Mike Coffman is ""the one who said"" he would support Trump.",Democratic Congressional Campaign Committee,"August 9, 2016",barely-true
C. Eugene,"Says in 2012 ""Obama won in every state that did not require a photo ID and lost in every state that did require a photo ID in order to vote.""",Viral image,Jr. • August,false
Allison Graves,"In the 2012 election, there were more votes cast than registered voters in St. Lucie County, and Palm Beach County had 141 percent turnout.",Viral image,"August 9, 2016",pants-fire
Linda Qiu,Says the media distorted what happened with a baby at his rally.,Donald Trump,"August 8, 2016",true
C. Eugene,"""We know this now. The banks no longer loan (Donald Trump) money because he's a terrible risk. So he goes to these (Russian) oligarchs and borrows money.""",Anthony Weiner,Jr. • August,barely-true
Taylor Leighton,"""Mike Pence voted against expanding the Children’s Health Insurance program, which Hillary helped to start.""",Howard Dean,"August 8, 2016",mostly-true
Warren Fiske,"Donald Trump says ""all Mexicans are rapists.""",Tim Kaine,"August 8, 2016",false
Linda Qiu,"""I haven't switched my position"" on the Trans-Pacific Partnership trade deal.",Tim Kaine,"August 7, 2016",half-true
Jon Greenberg,"Through the Clinton Foundation, ""the Clintons are now worth in excess of $100 million.""",Rebuilding America Now,"August 7, 2016",barely-true
Will Doran,"Says Barack Obama and Hillary Clinton are ""responsible for leading America into a deal that will arm Iran.""",Richard Burr,"August 5, 2016",half-true
Dan Clark,"In Buffalo's SolarCity project, ""Andrew Cuomo will create maybe 500 jobs if it ever happens at all, at about $1.5 million per job.""",Carl Paladino,"August 5, 2016",false
Allison Graves,"Because of the Trans-Pacific Partnership ""we’ve got a country like Malaysia taking really serious efforts to crack down on human trafficking.""",Barack Obama,"August 5, 2016",mostly-true
Miriam Valverde,"""Interior deportations under Obama were down 40 percent and at a nine-year low.""",National Border Patrol Council,"August 5, 2016",mostly-true
Dan Clark,"The Iran nuclear deal is ""putting billions of dollars back into a country that’s the world’s largest supporter of terrorism. We are actually giving them the money to fund the terrorists that are killing us and our allies.""",Rudy Giuliani,"August 5, 2016",half-true
Louis Jacobson,"Says he saw videotape ""of the people taking the money off the plane"" to pay ransom to Iran for hostages.",Donald Trump,"August 5, 2016",false
Joshua Gillin,"""The mosquito population in South Florida is larger than it is in many other communities in the country.""",Josh Earnest,"August 5, 2016",true
Linda Qiu,"""Hillary Clinton says she wants to, ‘raise taxes on the middle class.’ """,Donald Trump,"August 5, 2016",pants-fire
Chris Nichols,"California’s marijuana legalization initiative, Prop. 64 ""allows marijuana smoking ads in prime time, on programs with millions of children and teenage viewers.""",Dianne Feinstein,"August 5, 2016",barely-true
Allie Morris,"""I’m beating (Kelly Ayotte) in the polls by a lot.""",Donald Trump,"August 5, 2016",pants-fire
Sarah Hauer,"""The poverty rates in America today aren’t much better than when we started the War on Poverty.""",Paul Ryan,"August 5, 2016",half-true
Allison Graves,"Thanks to the Trans-Pacific Partnership, ""Vietnam is drafting and presenting unprecedented labor reforms, changing their Constitution to recognize worker organizations in Vietnam for the first time.""",Barack Obama,"August 4, 2016",half-true
Jon Greenberg,"After initially agreeing with Republicans on an amount for Zika funding, ""Democrats derailed it.""",Paul Ryan,"August 4, 2016",half-true
Anthony Cave,"In Arizona, ""there are only one and a half (Border Patrol) agents per every 10 square miles.""",Kelly Terry-Willis,"August 4, 2016",false
Adam Thorp,"""Youth unemployment is through the roof.""",Donald Trump,"August 4, 2016",false
Kevin Hoffman,"""Illinois suffered 1,652 overdose deaths in 2014 ... of which 40 percent were associated with heroin. Illinois is ranked number one in the nation for a decline in treatment capacity between 2007 and 2012, and is now ranked the third worst in the country for state-funded treatment capacity.""",Richard Durbin,"August 4, 2016",true
Allison Graves,"The Trans-Pacific Partnership ""knocks out 18,000 tariffs that other countries place on American products and goods.""",Barack Obama,"August 4, 2016",mostly-true
Matt Dietrich,"""Then, the Republican leader theatrically introduced new bills with stopgap budget language, declaring that we could stay until midnight and pass this compromise. Except under our constitution, a bill has to be read on 3 different days, so that's not possible.""",Kelly Cassidy,"August 4, 2016",barely-true
Nadia Pflaum,"Russia and China are ""doing naval exercises together someplace.""",Donald Trump,"August 4, 2016",mostly-true
Louis Jacobson,"Says ""Marco Rubio didn’t show up"" for a vote on his own bill on sanctions against Hezbollah.",Patrick Murphy,"August 4, 2016",barely-true
Riley Snyder,"Says ""Danny Tarkanian … wants to defund Planned Parenthood and would outlaw a woman's right to choose, even in cases of rape or incest.""",Jacky Rosen,"August 4, 2016",true
Tom Kertscher,"Says Milwaukee County district attorney candidate Verona Swanigan ""has worked as a prosecutor.""",Milwaukeeans for Self-Governance,"August 4, 2016",false
Alan Gathright,"""We have a fire marshal that said, 'Oh we can't allow more people’ ...  And the reason they won't let them in is because they don't know what the hell they're doing.""",Donald Trump,"August 3, 2016",pants-fire
Linda Qiu,"""It was under Barack Obama and Hillary Clinton that changed the rules of engagement that probably cost (Capt. Humayun Khan’s) life.""",Katrina Pierson,"August 3, 2016",pants-fire
Joshua Gillin,"""We rank 38th in wages. ... (Rick Scott) goes out around the country and advertises that to other states.""",Gwen Graham,"August 3, 2016",half-true
Jon Greenberg,"Trade deals threaten ""India’s role as the pharmacy of the developing world"" for new HIV medicines.",Doctors Without Borders,"August 3, 2016",mostly-true
Tom Kertscher,"Says Barack Obama ""said black males are two times more likely to be shot by a law enforcement officer than white males"" and ""that is a lie"" because ""there is no data.""",David A. Clarke Jr.,"August 3, 2016",barely-true
Neelesh Moorthy,"""American homeownership rate in Q2 2016 was 62.9% - lowest rate in 51yrs.""",Donald Trump,"August 2, 2016",mostly-true
C. Eugene,"Says Donald Trump ""is going to go out and carpet bomb"" the Middle East.",Joe Biden,Jr. • August,false
Mark Dent,"Says Sen. Pat Toomey ""even tried to shut down the federal government in order to eliminate funding for Planned Parenthood.""",Majority Forward,"August 2, 2016",barely-true
Warren Fiske,"""A few weeks ago, (the) education committee in Congress is deciding what’s going to be in your local salad bar.""",Dave Brat,"August 2, 2016",false
Neelesh Moorthy,"""Nobody covered"" the remarks of Patricia Smith, the mother of a Benghazi victim, ""live, but almost everybody covered Khizr Khan's, Mr. Khan's remarks live.""",Brian Kilmeade,"August 1, 2016",pants-fire
Louis Jacobson,"""As usual, Hillary & the Dems are trying to rig the debates so 2 are up against major NFL games.""",Donald Trump,"August 1, 2016",pants-fire
Lauren Carroll,"Says, regarding the presence of classified information in her email, FBI Director James ""Comey said my answers were truthful, and what I've said is consistent with what I have told the American people.""",Hillary Clinton,"August 1, 2016",pants-fire
Kate Wilkinson,"In Liberia, ""a girl is more likely to be married by 18 than to know how to read.""",Tina Rosenberg,"August 1, 2016",barely-true
Nadia Pflaum,"Says Donald Trump ""proposes tax cuts, too -- $3 trillion for millionaires like himself and $2 trillion for corporations like his.""",Sherrod Brown,"August 1, 2016",mostly-true
Louis Jacobson,On whether he’s had a relationship with Vladimir Putin.,Donald Trump,"August 1, 2016",full-flop
Neelesh Moorthy,"Says Hillary Clinton wrote, ""I believe the primary role of the state is to teach, train and raise children. Parents have a secondary role.""",James Woods,"August 1, 2016",pants-fire
Mark Dent,"Says Donald Trump ""doesn't make a thing in America.""",Hillary Clinton,"August 1, 2016",false
Linda Qiu,"""The DNC hack showed you that the Clinton campaign was working to schedule (primary) debates against (Bernie) Sanders,"" and the Clinton campaign is continuing this ""ploy"" against Donald Trump.",Paul Manafort,"July 31, 2016",false
Jane Wester,"""Bike lanes and sidewalks have been proven to reduce crashes by up to 38 percent on Austin’s streets.""",Bike Austin,"July 29, 2016",barely-true
W. Gardner,"Barack Obama ""ended up getting re-elected by the largest gender gap in the history of American elections.""",Cecile Richards,"• July 29,",half-true
Fauzeya Rahman,"""Only five Texas counties account for almost 90 percent of the (state’s) cattle industry.""",Jeannette Vaught,"July 29, 2016",false
Chris Nichols,"Says Indiana Gov. Mike Pence ""denies that there's such a thing as evolution.""",Jerry Brown,"July 29, 2016",half-true
Sean Gorman,"""We fixed a loophole in the (gun) background record check system so that we could make our commonwealth safer.""",Tim Kaine,"July 29, 2016",true
Tom Kertscher,"Says Hillary Clinton's Iran nuclear deal ""lined the pockets of the world's number one state sponsor of terrorism with your money.""",Reince Priebus,"July 29, 2016",barely-true
Miriam Valverde,"Says ""Donald Trump has defended"" World War II internment camps.",Joaquin Castro,"July 29, 2016",half-true
Jon Greenberg,"""More than 90 percent of the gains have gone to the top 1 percent.""",Hillary Clinton,"July 29, 2016",half-true
C. Eugene,"Says Donald Trump ""claimed our armed forces are 'a disaster.'""",Hillary Clinton,Jr. • July,mostly-true
Louis Jacobson,"""We put a lid on Iran's nuclear program without firing a single shot.""",Hillary Clinton,"July 29, 2016",mostly-true
Lauren Carroll,"Says Trump ties are made ""in China, not Colorado. Trump suits in Mexico, not Michigan. Trump furniture in Turkey, not Ohio. Trump picture frames in India, not Wisconsin.""",Hillary Clinton,"July 29, 2016",mostly-true
Louis Jacobson,"""Our economy is so much stronger than when (Barack Obama and Joe Biden) took office. Nearly 15 million new private-sector jobs.""",Hillary Clinton,"July 29, 2016",half-true
Jon Greenberg,"After the shootings of Dallas policemen, ""nearly 500 people applied in just 12 days.""",Hillary Clinton,"July 28, 2016",true
Amy Sherman,"Says Donald Trump said at the Republican convention, ""I alone can fix it.""",Hillary Clinton,"July 28, 2016",mostly-true
Joshua Gillin,"Florida retirees and families ""lost tens of thousands of dollars"" in deposits on failed Trump condo projects, but he ""pocketed their money and walked away.""",Tim Kaine,"July 28, 2016",half-true
Linda Qiu,"Says Hillary Clinton ""negotiated the first agreement — ever — where China and India officially committed to reduce their emissions.""",Bill Clinton,"July 28, 2016",half-true
Louis Jacobson,On whether the federal government should set a minimum wage,Donald Trump,"July 28, 2016",full-flop
Nadia Pflaum,"""The Koch network (is) spending more money (in a Senate race) in Ohio than anywhere else in the country.""",Sherrod Brown,"July 28, 2016",true
Sean Gorman,"In first week as governor, Tim Kaine ""proposed a nearly $4 billion tax increase, $4 billion, including a tax increase on people earning as little as $17,000 a year.""",Donald Trump,"July 28, 2016",mostly-true
Riley Snyder,"""Just on the issue of immigration alone, it is next to impossible to find a policy difference between (Donald) Trump and Congressman (Joe) Heck.""",Catherine Cortez Masto,"July 28, 2016",false
Cassie Owens,"""I’m not one for name calling.""",Ed Rendell,"July 28, 2016",pants-fire
Eleanor Dearman,"""In 2009, his first year as mayor,"" Julián Castro ""received a seven-figure referral fee"" that smells like a dirty financial gift ""from notorious personal injury lawyer Mikal Watts, a major Obama donor.""",Matt Mackowiak,"July 28, 2016",barely-true
Marc Filippino,"""When LBJ started #WarOnPoverty, 14% of Americans lived in poverty. 50 yrs later, 14% still do. There's a #BetterWay.""",John Shimkus,"July 28, 2016",barely-true
Miriam Valverde,"Says Donald Trump promised ""the mass deportation of Latino families.""",Karen Bass,"July 28, 2016",half-true
Linda Qiu,"""Almost every country on Earth sees America as stronger and more respected today than they did eight years ago when I took office.""",Barack Obama,"July 28, 2016",mostly-true
C. Eugene,"""Illegal immigration and the crime rate are as low as they’ve been in decades.""",Barack Obama,Jr. • July,mostly-true
Jon Greenberg,"""We have the most productive workers in the world.""",Joe Biden,"July 27, 2016",mostly-true
Lauren Carroll,"""John McCain’s chief economic adviser during the ’08 race … estimated that Trump’s promises would cause America to lose 3.5 million jobs.""",Tim Kaine,"July 27, 2016",half-true
Louis Jacobson,"Independent analysts ""found that Trump's tax plan, given to the wealthy and big corporations, would rack up $30 trillion in debt.""",Tim Kaine,"July 27, 2016",half-true
Amy Sherman,"Says Donald Trump ""games the U.S. visa system so he can hire temporary foreign workers at low wages.""",Michael Bloomberg,"July 27, 2016",mostly-true
Lauren Carroll,"""Ninety percent of Americans want our background check system strengthened and expanded to cover more gun sales.""",Chris Murphy,"July 27, 2016",true
Louis Jacobson,"Donald Trump ""called the military that I served in a disaster.""",John Hutson,"July 27, 2016",mostly-true
Miriam Valverde,"""We moved 100 times as many people out of poverty as moved out when President (Ronald) Reagan was in office, with 40 percent more jobs.""",Bill Clinton,"July 27, 2016",half-true
Riley Snyder,"Says ""Donald Trump and Mike Pence want to gamble with your retirement benefits in the stock market.""",Harry Reid,"July 27, 2016",barely-true
Anthony Cave,"""Immigrants start businesses at a faster rate; they seem to grow those businesses more successfully.""",Hillary Clinton,"July 27, 2016",mostly-true
Will Doran,"Says he and Bernie Sanders have ""very similar"" views on trade",Donald Trump,"July 27, 2016",mostly-true
Alan Gathright,"Says Gov. Mike Pence and Rep. Mike Coffman ""take the same positions on a number of things ... Coffman and Pence oppose equal rights for LGBT Americans.""",Democratic Congressional Campaign Committee,"July 27, 2016",barely-true
Aaron Sharockman,"""Not one American flag on the massive stage at the Democratic National Convention until people started complaining- then a small one. Pathetic.""",Donald Trump,"July 27, 2016",half-true
Cara Lombardo,"Says U.S. Sen. Ron Johnson ""opposes faster broadband internet in small towns"" and ""got nearly $90,000 in campaign contributions from the telecom special interests.""",Democratic Party of Wisconsin,"July 27, 2016",half-true
Lauren Carroll,"""As secretary of state, (Hillary Clinton) worked hard to get strong sanctions against Iran's nuclear program"" and ""got Russia and China to support them.""",Bill Clinton,"July 27, 2016",mostly-true
Louis Jacobson,"""The approval of the United States was 20 points higher when (Hillary Clinton) left the secretary of state's office than when she took it.""",Bill Clinton,"July 27, 2016",half-true
C. Eugene,"Says when an interviewer asked Donald Trump if he treats women with respect, Trump replied, ""I can't say that.""",Hillary Clinton,Jr. • July,barely-true
Linda Qiu,"Says Donald Trump ""cashed in"" on Sept. 11,  ""collecting $150,000 in federal funds intended to help small businesses recover — even though days after the attack Trump said his properties were not affected.""",Joseph Crowley,"July 27, 2016",half-true
Alan Gathright,"Says Hillary Clinton helped ""get done"" the Children's Health Insurance Program.",Bill Clinton,"July 26, 2016",mostly-true
Lauren Carroll,"Says Donald Trump ""said a woman should be punished for exercising her right to choose.""",Barbara Boxer,"July 26, 2016",half-true
Jon Greenberg,"""Human trafficking is the third-biggest criminal enterprise in the world.""",Amy Klobuchar,"July 26, 2016",mostly-true
Chris Nichols,"California has ""the sixth largest economy on planet Earth.""",Kevin de León,"July 26, 2016",mostly-true
Linda Qiu,"""The top 1 percent in recent years has earned 85 percent of all new income.""",Bernie Sanders,"July 26, 2016",half-true
Sean Gorman,"Says Hillary Clinton and Ralph Northam ""label police as racists.""",Corey Stewart,"July 26, 2016",barely-true
Miriam Valverde,"""There are fewer people crossing (the southwest) border than in the last 30 years.""",Luis Gutierrez,"July 26, 2016",mostly-true
C. Eugene,"""Donald Trump said he was excited for the 2008 housing crash that devastated millions of American families, because he thought it would help him scoop up more real estate on the cheap.""",Elizabeth Warren,Jr. • July,half-true
Louis Jacobson,"Speakers at the Democratic National Convention made ""zero mentions of the global terrorist threat posed by ISIS.""",Republican National Committee,"July 26, 2016",true
Lauren Carroll,"""The top one-tenth of 1 percent now owns almost as much wealth as the bottom 90 percent.""",Bernie Sanders,"July 26, 2016",mostly-true
Jon Greenberg,"Says Donald Trump ""believes that states should actually have the right to lower the minimum wage below $7.25.""",Bernie Sanders,"July 26, 2016",mostly-true
Louis Jacobson,"""I wake up every morning in a house (the White House) that was built by slaves.""",Michelle Obama,"July 25, 2016",true
Lauren Carroll,"Says Trump shirts are made in Bangladesh, Trump suits in Mexico, Trump Vodka in the Netherlands, Trump crystal barware in Slovenia and his cufflinks and ties in China.",Funny Or Die,"July 25, 2016",mostly-true
Jon Greenberg,"""We are the only industrialized nation that doesn't guarantee workers paid family leave.""",Kirsten Gillibrand,"July 25, 2016",mostly-true
Linda Qiu,"Says ""Donald Trump is a guy who has called for privatization"" of the Veterans Administration.",Tim Kaine,"July 25, 2016",barely-true
Linda Qiu,"""An analysis showed that Bernie Sanders would have won the Democratic nomination if it were not for the Super Delegates.""",Donald Trump,"July 25, 2016",false
Amy Sherman,"Says Debbie Wasserman Schultz ""has voted for huge subsidies for the sugar industry ... as well as for delays in cleanups.""",Tim Canova,"July 25, 2016",mostly-true
C. Eugene,"Unemployment numbers ""are artificial numbers. These are numbers that are massaged to make the existing economy look good, to make this administration look good when, in fact, it's a total disaster.""",Donald Trump Jr.,Jr. • July,pants-fire
Jon Greenberg,"In South Sudan, ""more teenage girls die in childbirth than finish high school.""",UN's UNICEF,"July 25, 2016",mostly-true
Lauren Carroll,"Says unlike Tim Kaine, who ""invested"" in education, Indiana Gov. Mike Pence ""slashed education funding.""",Hillary Clinton,"July 24, 2016",false
Warren Fiske,"On gift taking, ""Bob McDonnell took a fraction of what (Tim) Kaine took.""",Donald Trump,"July 24, 2016",pants-fire
Warren Fiske,"""I am the only candidate who ran in either primary who said, ‘I will not raise taxes on the middle class.’""",Hillary Clinton,"July 23, 2016",pants-fire
Filipa Ioannou,"The U.S. has to go to ""plane graveyards"" and museums to get parts for its 20-year-old jet fighters while it sells new jets to other countries.",Donald Trump,"July 23, 2016",mostly-true
Dylan Baddour,"Says Ted Cruz ""never denied"" his father was photographed with Lee Harvey Oswald.",Donald Trump,"July 22, 2016",pants-fire
Dan Clark,"""We created 800,000 new jobs, we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history""",Andrew Cuomo,"July 22, 2016",true
Tom Kertscher,"Says that as a U.S. senator, Russ Feingold ""voted against authorizing our military 11 separate times.""",Ron Johnson,"July 22, 2016",half-true
Miriam Valverde,"""Nearly 180,000 illegal immigrants with criminal records, ordered deported from our country, are tonight roaming free to threaten peaceful citizens.""",Donald Trump,"July 22, 2016",mostly-true
C. Eugene,"""An amendment, pushed by Lyndon Johnson many years ago, threatens religious institutions with a loss of their tax-exempt status if they openly advocate their political views.""",Donald Trump,Jr. • July,true
Louis Jacobson,"""America is one of the highest-taxed nations in the world.""",Donald Trump,"July 22, 2016",barely-true
Louis Jacobson,"""Household incomes are down more than $4,000 since the year 2000.""",Donald Trump,"July 21, 2016",mostly-true
Lauren Carroll,"""Our trade deficit in goods reached nearly … $800 billion last year alone.""",Donald Trump,"July 21, 2016",true
Linda Qiu,"Says Hillary Clinton ""supported North American Free Trade Agreement), and she supported China’s entrance into the World Trade Organization…. She supported the job-killing trade deal with South Korea. She supported the Trans-Pacific Partnership.""",Donald Trump,"July 21, 2016",mostly-true
Linda Qiu,"Says Hillary Clinton ""wants to essentially abolish the Second Amendment.""",Donald Trump,"July 21, 2016",false
Louis Jacobson,"""While Hillary Clinton plans a massive, and I mean massive, tax increase, I have proposed the largest tax reduction of any candidate who has run for president this year, Democrat or Republican.""",Donald Trump,"July 21, 2016",mostly-true
Jon Greenberg,"""America has lost nearly one third of its manufacturing jobs since 1997, following the enactment of disastrous trade deals supported by Bill and Hillary Clinton.""",Donald Trump,"July 21, 2016",half-true
Amy Sherman,"Says Hillary Clinton ""wants sanctuary cities.""",Donald Trump,"July 21, 2016",mostly-true
C. Eugene,"Says Hillary Clinton ""has called for a radical 550 percent increase in Syrian  ... refugees . . .  despite the fact that there’s no way to screen these refugees in order to find out who they are or where they come from.""",Donald Trump,Jr. • July,half-true
Nadia Pflaum,"""Forty-three million Americans are on food stamps.""",Donald Trump,"July 21, 2016",true
Miriam Valverde,"""The number of new illegal immigrant families who have crossed the border so far this year already exceeds the entire total from 2015.""",Donald Trump,"July 21, 2016",half-true
Amy Sherman,"""In 2009, pre-Hillary, ISIS was not even on the map.""",Donald Trump,"July 21, 2016",barely-true
Louis Jacobson,"""Homicides last year increased by 17 percent in America’s 50 largest cities. That’s the largest increase in 25 years.""",Donald Trump,"July 21, 2016",half-true
Lauren Carroll,"""Two million more Latinos are in poverty today than when President Obama took his oath of office less than eight years ago.""",Donald Trump,"July 21, 2016",half-true
Taylor Leighton,"""Every single strawberry that is served to Members of Congress will have passed through the rough hands of an undocumented immigrant.""",Luis Gutierrez,"July 21, 2016",half-true
Madeleine Doubek,"Says Rep. Tammy ""Duckworth has been a staunch supporter of expanding the spending, size and reach of the IRS.""",Mark Kirk,"July 21, 2016",false
Will Doran,"Says North Carolina is ""home of the largest military installations in the world.""",North Carolina Republican Party,"July 21, 2016",mostly-true
Lauren Carroll,"Says as Indiana governor, he has made ""record investments in education.""",Mike Pence,"July 21, 2016",half-true
C. Eugene,"""We in Indiana have . . . the highest credit rating in the nation.""",Mike Pence,Jr. • July,mostly-true
Linda Qiu,"""It was Hillary Clinton who left Americans in harm's way in Benghazi and after four Americans fell said, 'What difference at this point does it make?' """,Mike Pence,"July 21, 2016",barely-true
C. Eugene,"Says ""Hillary (Clinton) wants to increase the number (of Syrian refugees) by 500 percent.""",Newt Gingrich,Jr. • July,mostly-true
Louis Jacobson,"""There are more Hoosiers going to work than ever before.""",Mike Pence,"July 20, 2016",half-true
Nadia Pflaum,"""A million Democrats deserted (Howard Dean’s) party and joined my party because of Donald Trump in Ohio this year.""",Hugh Hewitt,"July 20, 2016",barely-true
Jon Greenberg,"""Just 9 percent of Muslims in Pakistan view ISIS favorably. Unfortunately, that 9 percent is 16 million people. And that’s just one country.""",Newt Gingrich,"July 20, 2016",mostly-true
Louis Jacobson,"Says Donald Trump ""always pays his bills promptly.""",Phil Ruffin,"July 20, 2016",false
Louis Jacobson,"""Our economy is not growing.""",Rick Scott,"July 20, 2016",false
Amy Sherman,"""Hillary Clinton invented ISIS with her stupid policies. She is responsible for ISIS.""",Donald Trump,"July 20, 2016",false
Alan Gathright,"""Neighborhoods have become more violent"" under President Barack Obama's ""watch.""",Darryl Glenn,"July 20, 2016",barely-true
Anna Orso,"""[Hillary Clinton]'s not trusted -- virtually at all.""",Tom Marino,"July 20, 2016",barely-true
Sarah Hauer,"""For decades, the state’s gas tax has been among the highest in the nation.""",Scott Walker,"July 20, 2016",true
Chris Nichols,"Donald Trump ""rooted for the housing crisis, because he knew he could make money off of it.""",Scott Peters,"July 20, 2016",mostly-true
Jon Greenberg,"In 2010, Clinton ""said Iran could enrich uranium. In 2014 she said she’s always argued against it.""",Mitch McConnell,"July 20, 2016",barely-true
Louis Jacobson,"Says Hillary Clinton is proposing ""destroying Medicare for seniors.""",Donald Trump Jr.,"July 19, 2016",false
Linda Qiu,""" ‘What difference, at this point, does it make?' I am the guy that got under her skin and provoked that infamous response from Hillary Clinton by asking a pretty simple question, 'Why didn't you just pick up the phone and call the survivors’ (of the Benghazi attack)?""",Ron Johnson,"July 19, 2016",mostly-true
C. Eugene,"Says Hillary Clinton ""said all work-related emails were sent back to the State Department. The FBI director said, that's not true.""",Chris Christie,Jr. • July,true
Nadia Pflaum,"Says ""(Clinton) called President Assad a ‘reformer.’ She called Assad a ‘different kind of leader.’ """,Chris Christie,"July 19, 2016",half-true
Louis Jacobson,"Says Hillary Clinton ""lied about why her parents named her Hillary.""",Mitch McConnell,"July 19, 2016",half-true
Katie Sanders,"As a senator, Hillary Clinton ""paid women less than the men"" in her office.",Sharon Day,"July 19, 2016",barely-true
Riley Snyder,"""(Koch Industries) is among the worst in toxic air pollution in the entire United States ... and churns out more climate-changing greenhouse gases than oil giants Chevron, Shell and Valero.""",Harry Reid,"July 19, 2016",mostly-true
Lauren Carroll,"""The Clinton camp was the first to get it out there and try to say there was something untoward about the speech that Melania Trump gave.""",Paul Manafort,"July 19, 2016",false
Tom Kertscher,"""Barack Obama and Hillary Clinton have left us with $19 trillion in debt.""",Sean Duffy,"July 19, 2016",barely-true
Sean Gorman,"Says Donald Trump is ""against minimum wage.""",Tim Kaine,"July 19, 2016",barely-true
Chris Nichols,"""There are at least twice as many licensed firearm dealers in California as there are McDonald’s.""",Safety For All Initiative,"July 19, 2016",true
Angie Drobnic,"Says President Barack Obama is ""absolutely"" a Muslim.",Antonio Sabato Jr.,"• July 19,",pants-fire
Miriam Valverde,"""There are about 350,000 people who succeed in crossing our borders illegally each year.""",Jeff Sessions,"July 19, 2016",false
Jon Greenberg,"Says as GOP was picking a convention city, ""I recommended Ohio.""",Donald Trump,"July 18, 2016",false
C. Eugene,"""We defied the stand-down orders"" during the Benghazi attack.",Mark Geist,Jr. • July,barely-true
Amy Sherman,"""Hillary Clinton is for open borders.""",Rudy Giuliani,"July 18, 2016",false
Linda Qiu,"Says Hillary Clinton ""has been a champion of globalist trade agreements. ... Worst of all, they are now pushing the disastrous 5,000-page Obamatrade — the Trans-Pacific Partnership agreement.""",Jeff Sessions,"July 18, 2016",barely-true
Louis Jacobson,"""We have the lowest percentage of Americans actually holding a job in 40 years.""",Jeff Sessions,"July 18, 2016",mostly-true
Nadia Pflaum,"""The Cleveland police has issued a stand down order to officers.""",Mike Cernovich,"July 18, 2016",pants-fire
Dan Clark,"""John Faso took money from fossil fuel companies as they tried to take your land by eminent domain for a fracked gas pipeline.""",Zephyr Teachout,"July 18, 2016",half-true
Cassie Owens,"""Illegal tobacco sales, price driven too high, has been connected to at least several cases of funding terrorism against us in multi-year investigations over the last decade and a half.""",Rick Saccone,"July 18, 2016",mostly-true
Allison Graves,"Says no one from the Bush family attended the 2012 Republican National Convention and ""there was no President Bush"" at the 2008 convention.",Reince Priebus,"July 17, 2016",false
Lauren Carroll,"""What the facts say"" is ... ""the best scenario for kids is a loving mom and dad.""",Reince Priebus,"July 17, 2016",false
Nick Reid,"""Granite State shipbuilders . . . built the first ship that sailed into battle under a new American flag.""",Frank Guinta,"July 15, 2016",half-true
Louis Jacobson,"""95 percent of the world’s customers are … beyond our shores.""",Joe Biden,"July 15, 2016",half-true
W. Gardner,"""Do you know what the second sport with the most concussions is? Women’s soccer… And the third most dangerous sport? Cheerleading.""",Drew Brees,"• July 15,",half-true
Allison Graves,"Says Gary Farmer’s claim that he ""received an 'A' from the NRA"" is ""an absolute lie.""",Jim Waldman,"July 15, 2016",true
Dan Clark,"Says middle-class New York State residents will have the ""lowest tax rate in 70 years.""",Andrew Cuomo,"July 15, 2016",mostly-true
C. Eugene,"""Just look at what the FBI director said about her (Hillary Clinton) — her misconduct  is a disgrace and embarrassment to our country.""",Donald Trump,Jr. • July,false
Will Doran,"""In North Carolina, paid family leave is more popular than college basketball.""",Moms Rising,"July 15, 2016",mostly-true
Tom Kertscher,"""You're more likely to be the victim of a violent crime in Milwaukee than in 96 percent of the country.""",Van Wanggaard,"July 15, 2016",half-true
Kevin Hoffman,"Says Mark Kirk ""called for the mass arrest of 18,000 African Americans"" and ""was apparently fine with Trump’s #StillTooRacist call for mass deportation.""",Tammy Duckworth,"July 15, 2016",false
Louis Jacobson,"""We flood communities with so many guns that it is easier for a teenager to buy a Glock than get his hands on a computer or even a book.""",Barack Obama,"July 14, 2016",barely-true
Adam Thorp,"Says Hillary Clinton ""took 13 hours to send help to Americans under fire"" during the terrorist attack in Benghazi.",Mike Pence,"July 14, 2016",false
Louis Jacobson,"""Today, there are more Hoosiers going to work than ever before in the 200-year history of the great state of Indiana.""",Mike Pence,"July 14, 2016",half-true
